T_eva / kPa;T_h / K;T_pp / k;T_sh / k;T_sc / k;T_con / K;E_th;E_ex
500;460;11;0;2;308,15;0,100703754;0,277636961
500;470;11;0;2;308,15;0,100703754;0,267632256
500;480;11;0;2;308,15;0,100703754;0,258698432
500;400;13;0;2;308,15;0,100703754;0,376991125
500;410;13;0;2;308,15;0,100703754;0,353346506
500;420;13;0;2;308,15;0,100703754;0,333429852
500;430;13;0;2;308,15;0,100703754;0,316423926
500;440;13;0;2;308,15;0,100703754;0,301734095
500;450;13;0;2;308,15;0,100703754;0,288917369
500;460;13;0;2;308,15;0,100703754;0,277636961
500;470;13;0;2;308,15;0,100703754;0,267632256
500;480;13;0;2;308,15;0,100703754;0,258698432
500;400;15;0;2;308,15;0,100703754;0,376991125
500;410;15;0;2;308,15;0,100703754;0,353346506
500;420;15;0;2;308,15;0,100703754;0,333429852
500;430;15;0;2;308,15;0,100703754;0,316423926
500;440;15;0;2;308,15;0,100703754;0,301734095
500;450;15;0;2;308,15;0,100703754;0,288917369
500;460;15;0;2;308,15;0,100703754;0,277636961
500;470;15;0;2;308,15;0,100703754;0,267632256
500;480;15;0;2;308,15;0,100703754;0,258698432
500;400;17;0;2;308,15;0,100703754;0,376991125
500;410;17;0;2;308,15;0,100703754;0,353346506
500;420;17;0;2;308,15;0,100703754;0,333429852
500;430;17;0;2;308,15;0,100703754;0,316423926
500;440;17;0;2;308,15;0,100703754;0,301734095
500;450;17;0;2;308,15;0,100703754;0,288917369
500;460;17;0;2;308,15;0,100703754;0,277636961
500;470;17;0;2;308,15;0,100703754;0,267632256
500;480;17;0;2;308,15;0,100703754;0,258698432
500;400;19;0;2;308,15;0,100703754;0,376991125
500;410;19;0;2;308,15;0,100703754;0,353346506
500;420;19;0;2;308,15;0,100703754;0,333429852
500;430;19;0;2;308,15;0,100703754;0,316423926
500;440;19;0;2;308,15;0,100703754;0,301734095
500;450;19;0;2;308,15;0,100703754;0,288917369
500;460;19;0;2;308,15;0,100703754;0,277636961
500;470;19;0;2;308,15;0,100703754;0,267632256
500;480;19;0;2;308,15;0,100703754;0,258698432
500;400;5;0;4;308,15;0,099808604;0,373640072
500;410;5;0;4;308,15;0,099808604;0,350205629
500;420;5;0;4;308,15;0,099808604;0,330466013
500;430;5;0;4;308,15;0,099808604;0,313611252
500;440;5;0;4;308,15;0,099808604;0,299051998
500;450;5;0;4;308,15;0,099808604;0,286349199
500;460;5;0;4;308,15;0,099808604;0,275169062
500;470;5;0;4;308,15;0,099808604;0,265253288
500;480;5;0;4;308,15;0,099808604;0,256398876
500;400;7;0;4;308,15;0,099808604;0,373640072
500;410;7;0;4;308,15;0,099808604;0,350205629
500;420;7;0;4;308,15;0,099808604;0,330466013
500;430;7;0;4;308,15;0,099808604;0,313611252
500;440;7;0;4;308,15;0,099808604;0,299051998
500;450;7;0;4;308,15;0,099808604;0,286349199
500;460;7;0;4;308,15;0,099808604;0,275169062
500;470;7;0;4;308,15;0,099808604;0,265253288
500;480;7;0;4;308,15;0,099808604;0,256398876
500;400;9;0;4;308,15;0,099808604;0,373640072
500;410;9;0;4;308,15;0,099808604;0,350205629
500;420;9;0;4;308,15;0,099808604;0,330466013
500;430;9;0;4;308,15;0,099808604;0,313611252
500;440;9;0;4;308,15;0,099808604;0,299051998
500;450;9;0;4;308,15;0,099808604;0,286349199
500;460;9;0;4;308,15;0,099808604;0,275169062
500;470;9;0;4;308,15;0,099808604;0,265253288
500;480;9;0;4;308,15;0,099808604;0,256398876
500;400;11;0;4;308,15;0,099808604;0,373640072
500;410;11;0;4;308,15;0,099808604;0,350205629
500;420;11;0;4;308,15;0,099808604;0,330466013
